gloss,text
"FACT  , FEW YEAR AGO , SE CRIME DO NOT MAKE HEADLINE .","the fact is , a few years ago , these crimes did not make the headlines ."
SE  ABSOLUTELY CRUCIAL ELEMENT .,these are absolutely crucial elements .
I BELIEVE  WE PROCESS   TOTALLY SINCERE .,i believe that our process must be totally sincere .
"FIRST ALL ,  I CALL  MORE HONESTY IN WE APPROACH  TURKEY .","first of all , could I call for more honesty in our approach to turkey ."
I HAVE ONE  TWO QUESTION  COMMISSION .,i have one or two questions for the commission .
WHY   FEW CHAPTER OPEN ?,why are so few chapters open ?
I AGREE  TURKISH GARRISON IN NORRN CYPRUS   MUCH REDUCE .,i agree that the turkish garrison in northern cyprus should be much reduced .
IT  SCANDALOUS  NO REAL PROGRESS HAVE  MAKE IN OPEN INTERNATIONAL TRADE  NORRN CYPRUS .,it is scandalous that no real progress has been made in opening international trade with northern cyprus .
WE DO NOT FEEL  TURKEY POSS MEMBERSHIP  EIR REALISTIC  OPPORTUNE  MANY REASON .,we do not feel that turkey's membership is either realistic or opportune for many reasons .
I  REQUEST  COMMISSION LOOK INTO   ACT PROACTIVELY IN RELATION  IT .,i would request that the commission look into this and act proactively in relation to it .
I BELIEVE    HAPPEN IN CURRENT NEGOTIATION .,i believe that this is happening in the current negotiations .
"IN MY OPINION , WE HAVE MAKE  GOOD PROGRESS  CROATIUM  WE CAN COMPLETE PROCESS QUICKLY .","in my opinion , we have made very good progress with croatia and we can complete the process quickly ."
"WE   AWARE  ,   WE DO NOT AROUSE FALSE HOPE .","we must be aware of this , so that we do not arouse false hopes ."
"BOTH SE THING RELATE  EUROPEAN PERSPECTIVE ,  Y USE DIFFERENT TOOLBOX .","both of these things relate to the european perspective , but they use different toolboxes ."
"REASON , YOU HAVE INTERESTING JOB  I HOPE  MUCH  YOU ENJOY IT .","for this reason , you have an interesting job and I hope very much that you enjoy it ."
"I  PLEASED  FOLLOW MY DISTINGUISHED FRIEND , MR BROK , WHO MENTION COPENHAGEN CRITERION .","i am pleased to follow my distinguished friend , mr brok , who mentioned the copenhagen criteria ."
"I REFORE SAY  LESBIAN , GAY  BISEXUAL RIGHTS  NON NEGOTIABLE .","i therefore say that lesbian , gay and bisexual rights are non negotiable ."
BRING IN ANTI DISCRIMINATION LEGISLATION NOW .,bring in anti discrimination legislation now .
WE IN PARLIAMENT  WELCOME  .,we in parliament should welcome that .
"AGAIN , ON ANTI DISCRIMINATION , I WISH Y  GO FURR .","but again , on anti discrimination , I wish them to go further ."
", ALLOW TURKEY  PROCEED ALONG  ROUTE , ON SAME TERM , SAME CONDITION .","so , allow turkey to proceed along this route , on the same terms , the same conditions ."
"IF WE UNDERMINE PRINCIPLE ACCESSION , WE HAVE NO PRINCIPLE LEAVE .","if we undermine the principles of accession , we have no principles left ."
SEEM RAR STRANGE  I .,that seems rather strange to me .
"HOWEVER , I  LIKE  DISCUSS SUBJECT TURKEY .","however , I would like to discuss the subject of turkey ."
SPEAKER HAVE SAY  TURKEY  SOCIETY IN MOTION    TRUE .,other speakers have said that turkey is a society in motion and that is true .
TURKEY  MOVE FORWARDS  BACKWARDS .,turkey is moving forwards and backwards .
LET WE TAKE EXAMPLE ARM FORCE .,let us take the example of the armed forces .
", COURSE ,  NOT GOOD THING .","that , of course , is not a good thing ."
WE THINK    GOOD .,we think that is very good .
GROUP . PRIVATE WARAGAINST DO ?,there is also theprivate waragainst the doğan group .
ALL    UNFORTUNATE .,all of this is very unfortunate .
ANOR EXAMPLE   ROLE WOMAN .,another example is that of the role of women .
I DO NOT THINK    CASE .,i do not think that this is the case .
I  ALSO LIKE  SAY SOMETHING ABOUT WHAT MR HOWITT HAVE SAY .,i would also like to say something about what mr howitt has said .
"HOWEVER ,   NOT AUTOMATIC PROCESS .","however , this is not an automatic process ."
"DURING  PROCESS , WE  NOT ONLY RESPONSIBLE  ACCESSION CANDIDATE .","during this process , we are not only responsible for the accession candidate ."
WE PRIMARY RESPONSIBILITY   EUROPEAN UNION .,our primary responsibility is to the european union .
SEEM  I  STRANGE .,this seems to me very strange .
"RE  ACCESSION PERSPECTIVE ,  ACCESSION WILL ONLY COME ABOUT WHEN ALL CRITERION HAVE  MEET .","there is an accession perspective , but accession will only come about when all the criteria have been met ."
"MR PRESIDENT , MR LAMBSDORFF MAKE ACCUSATION AGAINST UNITE KINGDOM .","mr president , mr lambsdorff made an accusation against the united kingdom ."
SE  ALL AREA WHICH  NOT EXACTLY MARGINAL .,these are all areas which are not exactly marginal .
YOU SAY  GROUP GREEN EUROPEAN FREE ALLIANCE WANT ENLARGEMENT  ANY PRICE .,you said that the group of the greens / european free alliance wanted enlargement at any price .
"ON QUESTION MACEDONIUM , RE HAVE  GREAT DEAL PROGRESS IN MANY AREA .","on the question of macedonia , there has been a great deal of progress in many areas ."
I RECOGNIZE   I  PLEASED ABOUT IT .,i recognise this and I am pleased about it .
EUROPEAN LAW .,that is european law .
YOU HEARING  TRULY SUPERB .,your hearing was truly superb .
"HOWEVER , HE DO NOT WANT EURO BUREAUCRACY  COME BETWEEN  EUROPE  ITS CITIZEN .","however , he does not want euro bureaucracy to come between that europe and its citizens ."
"GIVE WE CERTAIN ENERGY , CERTAIN VIGOR ,  IT  WORTH TAKE  ROUTE .","this could give us a certain energy , a certain vigour , so it is worth taking this route ."
EUROPE WITHOUT  BALKAN LUNG  NOT EUROPE .,a europe without that balkan lung is not europe .
"SOMETHING WHICH  , TRULY ,  IMPORTANT .","this is something which is , truly , very important ."
"POLITICAL ENLARGEMENT  PROBLEMATIC RELATION  INTERNATIONAL LAW  , I  SAY , PROBLEMATIC IN ITSELF .","political enlargement with problematic relations with international law is , I would say , problematic in itself ."
FAR STILL SELL Y DAUGHTER  SWAP Y  CATTLE .,fathers still sell their daughters or swap them for cattle .
MAN WHO BUY WIFE TREAT Y LIKE SLAVE .,the men who buy wives treat them like slaves .
NAME ISSUE  REAL POLITICAL ISSUE IN GREECE .,the name issue is a real political issue in greece .
NO GREEK GOVERNMENT CAN SURVIVE IF NEGOTIATION  ALLOW  BEGIN WITHOUT AGREEMENT ON NAME .,no greek government can survive if negotiations are allowed to begin without an agreement on the name .
TURKEY  KNOW HOW LARGE TURKISH DOSSIER   COUNTRY  ITS SIZE POPULATION .,turkey should know how large the turkish dossier is for a country with its size of population .
SEE LAST REPORT UN HIGH COMMISSIONER  REFUGEE .,see the last report of the un high commissioner for refugees .
"HOWEVER ,   ISSUE   STILL PEND .","however , this is an issue that is still pending ."
IMPORTANT PIECE JIGSAW HAVE YET   PUT IN PLACE BEFORE MEMBERSHIP CAN  ACCOMPLISH .,important pieces of the jigsaw have yet to be put in place before membership can be accomplished .
"ON  MATTER , PROGRESS REPORT INDICATE  RE  STILL MUCH  DO .","on this matter , the progress report indicates that there is still much to do ."
TODAY POSS MOTION  RESOLUTION ON FYROM TRY  MIRROR  DELICATE BALANCE .,today's motion for a resolution on fyrom tries to mirror this delicate balance .
"HOWEVER , IT DO NOT SUCCEED ADEQUATELY .","however , it does not succeed adequately ."
"INDEFINITE POSTPONEMENT , ON  HAND ,  ENCOURAGE EQUALLY UNPRODUCTIVE BEHAVIOR ONCE AGAIN .","indefinite postponement , on the other hand , might encourage equally unproductive behaviour once again ."
"HOWEVER , I  POINT OUT  ANY FORM NATIONALISM DAMAGE ITS OWN COUNTRY FIRST .","however , I would point out that any form of nationalism damages its own country first ."
GREECE  STRIKE ITS OWN BALANCE .,greece must strike its own balance .
"I HAVE ONLY THREE COMMENT , SINCE MUCH HAVE  SAY HERE ALREADY IN DEBATE .","i have only three comments , since much has been said here already in the debate ."
MY SECOND COMMENT RELATE  WORDCOMPREHENSIVENESS .,my second comment relates to the wordcomprehensiveness.
WE  GIVE CLEARYESORNO .,we must give a clearyesorno.
TURKEY  PLAY  NEGATIVE ROLE IN THOSE NEGOTIATION .,turkey is playing a very negative role in those negotiations .
IT CAN NOT CONTINUE  OCCUPY CITY FAMAGUSTA IN BREACH UNITE NATION SECURITY COUNCIL RESOLUTION .,it cannot continue to occupy the city of famagusta in breach of the united nations security council resolution .
PATH TURKEY  TAKE  MOMENT .,that is the path turkey is taking at the moment .
SAME APPLY   CANDIDATE COUNTRY .,the same applies to other candidate countries .
"WHEN Y REFORM , Y  BECOME NEIGHBOR .","when they reform , they are becoming neighbours ."
JUSTICE  NOW AREA IN WHICH HARD HIT REFORM  STILL REQUIRE .,justice is now the area in which hard hitting reform is still required .
I STRESS NEED  BUILD TRUE LEGAL CULTURE  MENTALITY IN LINE  EUROPEAN STANDARD .,i stress the need to build a true legal culture and mentality in line with european standards .
"MR PRESIDENT , GREET  COMMISSIONER F?LE .","mr president , greetings to commissioner füle ."
"TALK BETWEEN MR CHRISTOFIUM  MR TALAT  , AS WE KNOW ,  CRITICAL STAGE .","the talks between mr christofias and mr talat are , as we know , at a critical stage ."
"Y  SUCCEED , SETTLEMENT HAVE   CARRY  PUBLIC OPINION .","for them to succeed , a settlement has to be carried by public opinion ."
CONFIDENCE BUILDING  SORELY REQUIRE .,confidence building is sorely required .
TURKEY  SEND SIGNAL .,turkey should send signals .
TIME  ACT  NOW .,the time to act is now .
WE WISH  SPEAK LANGUAGE TRUTH  TURKEY .,we wish to speak the language of truth with turkey .
HU I  LIKE  COMMENT ON REPORT ON CROATIUM  MACEDONIUM .,hu I would like to comment on the report on croatia and macedonia .
"IN CASE BOTH COUNTRY , ISSUE CONCERN NEIGHBOURLY RELATION HAVE STALL PROGRESS .","in the case of both countries , issues concerning neighbourly relations have stalled progress ."
"AS THIRD MEMBER TRIO PRESIDENCY , HUNGARY  LIKE  CONTINUE  ASSIST   PROCESS .","as the third member of the trio presidency , hungary would like to continue and assist with this process ."
"DE MADAM PRESIDENT , FIRSTLY , CONGRATULATION  MR F?LE ON HE APPOINTMENT AS COMMISSIONER .","de madam president , firstly , congratulations to mr füle on his appointment as commissioner ."
IT   BALANCED PRESENTATION PROGRESS MAKE IN CROATIUM .,it is a very balanced presentation of the progress made in croatia .
IT  ALSO IMPORTANT  ENSURE  FREEDOM PRESS  GUARANTEE .,it is also important to ensure that the freedom of the press is guaranteed .
"SE REFORM   INITIATE  IMPLEMENT  , ABOVE ALL , Y   SUPPORT  POPULATION .","these reforms must be initiated and implemented and , above all , they must be supported by the population ."
"PROCESS  TAKE PLACE  MUTUAL UNDERSTANDING , IT   ASSURE HIGH LEVEL QUALITY .","for that process to take place with mutual understanding , it must be assured a high level of quality ."
"HOWEVER , GOOD INTENTION  NOT EVERYTHING .","however , good intentions are not everything ."
RAPPORTEUR HAVE SUBMIT  BALANCED DRAFT RESOLUTION .,the rapporteur has submitted a very balanced draft resolution .
"TURKEY HAVE INDEED MAKE GOOD PROGRESS ,  MANY POINT CONCERN   ADDRESS URGENTLY .","turkey has indeed made good progress , but many points of concern must be addressed urgently ."
HORRIBLE PHENOMENON HONOR KILL   STAMP OUT AS WELL AS KILL TRANSGENDER PERSON .,the horrible phenomenon of honour killings must be stamped out as well as the killing of transgender persons .
"JUST YESTERDAY , WE LEARN UMPTEENTH KILL TRANSGENDER WOMAN IN ANTALYA .","just yesterday , we learned of the umpteenth killing of a transgender woman in antalya ."
"TURKISH GOVERNMENT  ENSURE , AS MATTER URGENCY ,  TRANSGENDER KILL NO LONGER GO UNPUNISHED .","the turkish government must ensure , as a matter of urgency , that transgender killings no longer go unpunished ."
RESOLUTION RIGHTLY URGE FREEDOM RELIGION  FREEDOM EXPRESSION .,the resolution rightly urges freedom of religion and freedom of expression .
MATTER CREDIBILITY  MORAL AUTHORITY .,that is a matter of credibility and moral authority .
TURKEY  CLEARLY MEMBER EUROPEAN FAMILY   IMPORTANT PARTNER IN DIALOGUE BETWEEN CIVILISATION .,turkey is clearly a member of the european family and is an important partner in the dialogue between civilisations .
WESTERN BALKAN  BALKAN HAVE NEVER  STABLE EXCEPT DURING BRIEF ERA TITO POSS YUGOSLAVIUM .,the western balkans and the balkans have never been stable except during the brief era of tito's yugoslavia .
ACCESSION  UNION  ONLY OPTION  STABILISE REGION .,accession to the union is the only option to stabilise the region .
I  LIKE  QUOTE ANOR COUNCIL POSS CONCLUSION .,i should like to quote another of the council's conclusions .
"IN 2004 , TURKISH CYPRIOT COMMUNITY CLEARLY EXPRESS ITS DESIRE  HAVE FUTURE WITHIN EU .","in 2004 , the turkish cypriot community clearly expressed its desire to have a future within the eu ."
"MADAM PRESIDENT , I  LIKE  WELCOME COMMISSIONER F?LE  MINISTER .","madam president , I should like to welcome commissioner füle and the minister ."
EVERYBODY WILL  PLEASE  PROGRESS  CROATIUM  MAKE IN COMPLETION ITS ACCESSION PROCESS .,everybody will be pleased by the progress that croatia is making in the completion of its accession process .
", NEGOTIATE TRANSFORMATION DEMAND MAJOR ACT POLITICAL WILL .","so , negotiating the transformation demands a major act of political will ."
"GREATEST PROBLEM ADAPTATION , THOUGH , LIE ELSEWHERE .","the greatest problem of adaptation , though , lies elsewhere ."
MAY TURN OUT   HARDER TASK .,that may turn out to be the harder task .
"HOWEVER , RE  IMPORTANT DIFFERENCE .","however , there are important differences ."
MAY I START  CONGRATULATING HANNE SWOBODA ON HE REPORT ON CROATIUM .,may I start by congratulating hannes swoboda on his report on croatia .
WE  ALL DELIGHTED   COUNTRY WILL SHORTLY  JOIN EUROPEAN UNION .,we are all delighted that this country will shortly be joining the european union .
"TURKEY NEED  HONOR ALL ITS CONTRACTUAL OBLIGATION , AS ALL PREVIOUS CANDIDATE COUNTRY HAVE DO .","turkey needs to honour all its contractual obligations , as all previous candidate countries have done ."
ACCESSION     ULTIMATE OBJECTIVE .,accession is and must be the ultimate objective .
"HOWEVER , WE CAN NOT HAVE ? LA CARTE ACCESSION TAILOR  TURKEY .","however , we cannot have à la carte accession tailored to turkey ."
GREEK GOVERNMENT KNOW  PROCESS REQUIRE NEW MOMENTUM   GENUINELY DETERMINE  ISSUE  RESOLVE .,the greek government knows that the process requires new momentum and is genuinely determined that the issue be resolved .
WE EXPECT EQUALLY HONEST STAND FROM  SIDE .,we expect an equally honest stand from the other side .
"BG MADAM PRESIDENT , COMMISSIONER F?LE , WELCOME  HOUSE .","bg madam president , commissioner füle , welcome to the house ."
I WISH YOU EVERY SUCCESS IN YOU WORK .,i wish you every success in your work .
"I WISH  THANK MR SWOBODA , MR THALER  MR OOMAN RUIJTEN  Y BALANCED , OBJECTIVE REPORT .","i wish to thank mr swoboda , mr thaler and mrs oomen ruijten for their balanced , objective reports ."
FORMER YUGOSLAV REPUBLIC MACEDONIUM HAVE MAKE PROGRESS IN MEET CRITERION  INITIATE PRE ACCESSION PROCESS .,the former yugoslav republic of macedonia has made progress in meeting the criteria for initiating the pre accession process .
HISTORY  BRING WE TOGER  NOT TEAR WE APART .,history must bring us together and not tear us apart .
CALL HATE TALK  NOT  TOLERATE .,so called hate talk must not be tolerated .
I WANT  MENTION IN PARTICULAR SCHOOLBOOK WHICH CHILD USE IN SCHOOL .,i want to mention in particular the schoolbooks which children use in school .
